play an important part in;/pleɪ ən ɪmˈpɔːrtnt  pɑːrt ɪn/;在…中起重要作用，对…有重要影响;be important;Our leader played an important part in the team.,他在我们团队中起着重要作用。
giant;/ˈdʒaɪənt/;adj. 巨大的，卓越的；  n. 巨人，伟人，庞然大物;very large; much larger or more powerful than normal;This giant hamburger cannot fit in my mouth, but I'm so hungry I will eat it all!,我的嘴巴装不下这个巨大的汉堡包，但是我太饿了，一定要把它吃光！
anthropomorphic;/ˌænθrəpəˈmɔːrfɪk/;adj. 拟人的，拟人化;described or thought of as being like human beings in appearance, behavior, etc.;I have this anthropomorphic image of a penguin as a fat guy in a dinner-jacket.,我有一张企鹅扮成穿礼服的胖子的拟人化图片。
substantive;/səbˈstæntɪv/;adj. 有实质的，大量的，真实的，独立存在的;important, real, or meaningful;When a rock is turned into gold, substantive change happens.,当石头变成黄金，实质性的变化就发生了。
occupant;/ˈɑːkjəpənt/;n. 居住者，占有者;a person who is in a room, vehicle, etc., at a particular time;I was surprised to find that the occupant of the car was my good friend.,我很惊讶地发现了那个车的拥有者是我的好朋友。
antedate;/ˌæntiˈdeɪt/;n. 比实际提前的日期；  vt. 在…上写上早于实际的日期，发生于…以前，使提前发生，使回到过去;to give an earlier date rather than the actual date to (something);Please antedate the letter by one year.,请把信上的日期填早一年。
cantata;/kænˈtɑːtə/;n. 大合唱，清唱剧;a piece of music for singers and instruments that usually has several parts (called movements) and often has a religious subject;The street musician played a short cantata.,这位街头音乐家弹了一首短清唱剧。
servant;/ˈsɜːrvənt/;n. 仆人;a person who is hired to do household or personal duties such as cleaning and cooking;Their family is very rich, they have their own servant to serve them food and drinks.,他们家非常有钱，他们有自己的仆人来上菜和上饮料。
verdant;/ˈvɜːrdnt/;adj. 青葱的，翠绿的;green with growing plants;Let's turn this beautiful, verdant countryside into a golf course!,让我们把这片美丽、翠绿的郊野变成一个高尔夫球场吧！
rant;/rænt/;v. 咆哮，痛骂，大声责骂；  n. 咆哮，痛骂;to talk loudly and in a way that shows anger :to complain in a way that is unreasonable;She called the radio talk show with a rant about gay people and taxes and stuff.,她打给电台脱口秀，痛骂同性恋和税收等事情。
hesitant;/ˈhezɪtənt/;adj. 迟疑的，踌躇的，犹豫不定的;slow to act or speak especially because you are nervous or unsure about what to do :feeling or showing hesitation;Hesitant people often find themselves in confusion.,犹豫的人常常发现自己处于纠结的状态中。 
dormant;/ˈdɔːrmənt/;adj. 睡眠的，休眠的，静止的，隐伏的;not doing anything at this time :not active but able to become active;Frogs lie dormant underground during winter, covered in fallen leaves.,冬天，青蛙在盖有落叶的地下休眠。
gallantry;/ˈɡæləntri/;n. 勇武，殷勤，献殷勤的言行，风流韵事;polite attention shown by a man to a woman;The gentleman greeted the lady with his gallantry.  ,那绅士殷勤地问候了那位女士。
expectantly;/ɪkˈspektəntli/;adv. 期望地，期待地;hopefully that sth good or exciting will happen;The little girl is waiting expectantly, hoping her parents will pick her up.,这个小女孩充满期待的等待她的父母把她接走.
shanty;/ˈʃænti/;n. 简陋的小木屋;a small, simple building that is roughly made from sheets of wood, plastic, etc., and that is used as a house by poor people;The abandoned shanty in the forest looks terrible.,森林里废弃的那座木屋看起来很恐怖。
savant;/sæˈvɑːnt/;n. 博学之士，大学士;a person who does not have normal intelligence but who has very unusual mental abilities that other people do not have;The man doing the experiment was a savant in physics.,牛顿在做实验，他是物理学的大学士。
pollutant;/pəˈluːtənt/;n. 污染物质，污染源；  adj. 造成污染的，受污染的;a substance that makes land, water, air, etc., dirty and not safe or suitable to use :something that causes pollution;Airborne pollutants can damage public health and cause global warming.,空气漂浮的污染物不但危害公众健康，还会造成全球变暖。
in the meantime;/ɪn ði ˈmiːntaɪm/;在……期间;in the period of time between two times or two events;He was brushing his teeth. In the meantime, he was doing exercise.,他正在刷牙，但这期间，他也在健身。
exorbitant;/ɪɡˈzɔːrbɪtənt/;adj. 要价过高的，过分的;going far beyond what is fair, reasonable, or expected :too high, expensive, etc.;The hotel in this tourist spot charges an exorbitant price.,旅游景点的酒店漫天要价。
relevant;/ˈreləvənt/;adj. 有关的；恰当的；贴切的;closely connected with the subject you are discussing or the situation you are thinking about;The suggestion given was relevant to our problem.,给出的这个建议与解决我们的问题相关。
production plant;;生产工厂;;Our production plant runs day and night to keep producing power for the city.,我们的生产工厂没日没夜的运转着，为这个城市输送电力。
antic;/'æntɪk/;adj. 古怪的，滑稽可笑的；  n. 滑稽动作，丑角；  v. 扮小旦，做滑稽动作;very playful, funny, or silly;The clown's antics can always make us chuckle.,小丑的滑稽动作总能让我们发笑。
eggplant;/ˈeɡplænt/;n. 茄子，黑紫色;a somewhat egg-shaped vegetable with usually purple skin;I have no idea how to cook eggplant, but I like to eat them.,我完全不知道如何烹饪茄子，但是我喜欢吃它们。
unsubstantiated;/ˌʌnsəbˈstænʃieɪtɪd/;adj. 未经证实的，无事实根据的;not proven to be true;They say they saw aliens, but their story is still unsubstantiated.,他们说他们看见了外星人，但是他们的说法并未得到证实。
antibody;/ˈæntibɑːdi/;n. 【免疫】抗体;a substance produced by the body to fight disease;Antibodies help to defend our body against viruses.,抗体帮助我们的身体抵抗病毒。
sycophant;/ˈsɪkəfænt/;n. 马屁精;a person who praises powerful people in order to get their approval;The leader has many sycophants, all ready to do what he wants.,这位领导有很多马屁精，都做好了准备为他服务。
antebellum;/ˌæntiˈbeləm/;adj. （美国南北）战争前的;occurring in the southern U.S. during the time before the American Civil War;American slavery was the worst event in antebellum history.,美国奴隶制度是南北战争前最坏的制度。
dependant;/dɪˈpendənt/;n. （子女等）受抚养者，受供养者，侍从，食客;a person who relies on another person for support (especially financial support);My daughter is my dependant. ,我是女儿的依靠。
antagonize;/ænˈtæɡənaɪz/;v. 使…敌对，使…对抗，引起反抗;to cause (someone) to feel hostile or angry :to irritate or upset (someone);Don't antagonize your sister by making faces at her!,不要做鬼脸来和你姐姐作对！
infantry;/ˈɪnfəntri/;n. 步兵，步兵团;the part of an army that has soldiers who fight on foot;The infantry are the most basic and important part of the army.,步兵是最基本也是最重要的军队组成部分。
panther;/ˈpænθər/;n. 豹；黑豹;a large, black wildcat;A panther is sitting on the sofa gracefully.,一只黑豹优雅地坐在沙发上。
combatant;/kəmˈbætnt/;n. 战士，争斗者；  adj. 战斗的，好斗的;a person, group, or country that fights in a war or battle;The combatants sitting in the transport plane are ready for war.,坐在运输机中的战士们已经为战斗做好了准备。
anticipated;/æn'tɪsɪpeɪtɪd/;adj. 预期的，期望的；  v. 预料（anticipate的过去分词），盼望;;My anticipated salary is 5000 RMB per month.,我预期的月薪是5000人民币。
guarantee;/ˌɡærənˈtiː/;v. 保证；担保；提供保修；  n. 保证；担保；保修单；保证金;to promise  something will happen;Using Baicizhan guarantees that you will pass your English exams.,百词斩包你秒杀所有英语考试！
claimant;/ˈkleɪmənt/;n. 原告，【贸易】索赔人，提出要求者;;The claimant asked to be compensated for his disability by the insurance company.,该索赔人就其伤残要求保险公司作出补偿。
tantalize;/ˈtæntəlaɪz/;v. 逗弄，挑逗，使（看到拿不到而）焦急;to cause (someone) to feel interest or excitement about something that is very attractive, appealing, etc.;He tantalizes the girl who is on a diet by eating in front of her.,他在她面前吃东西，逗弄这个节食中的姑娘。
wanting;/ˈwɑːntɪŋ/;adj. 欠缺的，不足的，不够格的;not having all that is needed or expected;My new office is rather wanting in furniture.,我的新办公室急需家具。
slant;/slænt/;n. 倾斜，倾向性，偏见；  v. （使）倾斜，使带有某种色彩，歪曲;to not be level or straight up and down;Pisa's Leaning Tower leans at a slant of about five degrees.,比萨斜塔大概倾斜了5度。
confidant;/ˈkɑːnfɪdænt/;n. 密友;;Every girl needs a confidant.,每个女孩儿都需要一个闺蜜。
substantially;/səbˈstænʃəli/;adv. 实质上，大体上，充分地;in a general or basic way;This castle is substantially built, to repel attackers.,这个城堡实际上是修建来抵御入侵者的。
consultant;/kənˈsʌltənt/;n. 顾问，会诊医师，顾问医生;a person who gives professional advice or services to companies for a fee;The consultant will explain how we should run our business.,顾问将会解释我们应该如何经营我们的事业。
flagrant;/ˈfleɪɡrənt/;adj. 罪恶昭彰的，残暴的，丑恶可耻的，明目张胆的;very bad :too bad to be ignored;This flagrant theft happened on a busy street, in broad daylight.,光天化日之下，那桩罪恶昭彰的盗窃案发生在了一条繁忙的大街上。
vacant;/ˈveɪkənt/;adj. 空的，闲置的，空缺的;(of a room, seat, etc.) not filled, used, or lived in;The apartment is vacant, so you can move in any time you want.,这个公寓是空的，你什么时候想搬进去都行。
conversant;/kənˈvɜːrsnt/;adj. 熟悉的，精通的，亲近的;able to talk in a foreign language;The professor is conversant with all kinds of topics. ,教授很精通各种话题。
pliant;/ˈplaɪənt/;adj. 易弯的，柔软的；  n. 顺从;too easily influenced or controlled by other people;He was as pliant as a puppet to his older sister's commands. ,他像一个木偶一样服从他姐姐的命令。
migrant;/ˈmaɪɡrənt/;n. 候鸟；移民;a person who goes from one place to another especially to find work;A wild goose is a kind of migrant bird which flies to different habitats in different seasons.,大雁是一种候鸟，它们在不同的季节飞向不同的栖息地。
cognizant;/ˈkɑːɡnɪzənt/;adj. 审理的，已认知的;aware of something;I don't need to read this book: I'm already cognizant of everything in it.,我不需要看这本书：我已经对里面所有的内容有所认知了。
ascendant;/əˈsendənt/;n. 优势，支配地位；  adj. 上升的，优越的;becoming more powerful :gaining more power;The reign of the mammals is over! The penguins are now ascendant!,哺乳动物的统治结束了！企鹅现在占支配地位。
infant;/ˈɪnfənt/;n. 幼儿；  adj. 婴儿的;a very young child, especially one who has not learnt to speak or walk;The mother takes care of her little infant.,母亲照顾她的小婴儿。
attendant;/əˈtendənt/;n. 服务员，侍者，随从；  adj. 伴随的，随之而产生的;an assistant or servant;"What kind of wine would you like tonight?" asked our attendant.,“你们今晚想喝什么样的红酒？”我们的服务员问道。
antitrust law;/ˌæntiˈtrʌst/ /lɔ/;反托拉斯法; law intended to promote free competition in the market place by outlawing monopolies;He was thrown in jail because of his company's violations of antitrust law.,他因公司违反了反托拉斯法而被捕入狱。
disadvantage;/ˌdɪsədˈvæntɪdʒ/;n. 不利，不利地位，弱点，弊端;something that causes difficulty :something that makes someone or something worse or less likely to succeed than others;The one ant is at a disadvantage against so many others.,这一只蚂蚁在和其他许多蚂蚁的对抗中处于劣势。
ignorant;/ˈɪɡnərənt/;adj. 无知的，没有学问的，愚昧的;lacking knowledge or information about something; not educated;The ignorant man has been bothered by a simple math question.,一个简单的数学问题让这个无知的男人很纠结。
clairvoyant;/klerˈvɔɪənt/;n. 千里眼，透视眼;someone who has the power of clairvoyance;The clairvoyant predicted that I would soon be giving her a lot of money.,这个透视眼预言很快我就会给她很多钱。
quarantine;/ˈkwɔːrəntiːn/;v. 检疫，隔离，使隔离；  n. 检疫，隔离，检疫期，封锁;to keep (a person or animal) away from others to prevent a disease from spreading :to put or keep (a person or animal) in quarantine;Patients with infectious diseases should be quarantined; only medical workers should enter.,传染病病患者将被隔离起来，只有医护人员能入内。
enchant;/ɪnˈtʃænt/;v. 施魔法于；吸引;to put a magic spell on (someone or something);You'll have to enchant the ball with a magic spell before you can use it.,在你使用魔法球之前，你必须用口诀对其施展魔法。
discordant;/dɪsˈkɔːrdənt/;adj. 不和谐的，刺耳的，不一致的;harsh or unpleasant in sound;He couldn't sing in tune, and his guitar playing was discordant as well.,他唱歌不着调，吉他弹得也不和谐。
extant;/ekˈstænt/;adj. 现存的，显著的;in existence :still existing;This is one of the very few extant copies of Shakespeare's plays.,这是极少量现存莎士比亚戏剧手稿中的一份。
brilliant;/ˈbrɪliənt/;adj. 才华横溢的；卓越的；灿烂的；美妙的;extremely clever or very intelligent or skilful;The girl is so brilliant that she can solve the difficult question.,这个小女孩很聪明，她能解决这道难题。
malignant;/məˈlɪɡnənt/;adj. 恶性的，恶毒的，充满恨意的;very serious and dangerous :tending or likely to grow and spread in a rapid and uncontrolled way that can cause death;The tumor is malignant--we will have to remove it.,这是恶性肿瘤，我们必须切除它。
intoxicant;/ɪnˈtɑːksɪkənt/;adj. 醉人的，麻醉的，沉醉的；  n. 麻醉品，酒精饮料;something (such as an acoholic drink) that causes people to become excited or confused and less able to control what they say or do :an intoxicating substance;Beer is an intoxicant; don't drink too much.,啤酒是一种酒精饮料，不要喝太多。
tenant;/ˈtenənt/;n. 承租人，租客，佃户;a person, business, group, etc., that pays to use another person's property :someone who rents or leases a house, apartment, etc., from a landlord;We showed the new tenants around the apartment.,我们带新租客去看了房。
piquant;/ˈpiːkənt/;adj. 辛辣的，开胃的，活泼有趣的;having a pleasant, spicy taste;This tofu dish is served in a spicy, piquant hot sauce.,这道豆腐加入了香辣可口的热酱汁。
antecede;/ˌæntɪ'siːd/;v. 胜过，居前;be earlier in time; go back further;The past antecedes the present.,过去在现在之前。
quantity;/ˈkwɑːntəti/;n. 量，总数，大量;a large amount or number of something;I eat a large quantity of food every day.,我每天都吃大量的食物。
anti-venom;;n. 抗毒;a medication used to treat certain venomous bites and stings;They seized the poisonous snake to produce the corresponding anti-venom.,他们抓住这条毒蛇是为了生产相应的抗毒药剂。
romantic;/roʊˈmæntɪk/;adj. 浪漫的，传奇式的，不切实际的，好幻想的;making someone think of love; suitable for romance;He planned a very romantic trip for our honeymoon.,他为我们的蜜月计划了一场非常浪漫的旅行。
elephant;/ˈelɪfənt/;n. 象;a very large gray animal that has a long, flexible nose and two long tusks;The elephant is the largest animal that lives on land.,大象是陆地上最大的动物。
pantry;/ˈpæntri/;n. 餐具室；食品室;a small room in a house in which food is stored;I opened the pantry to get some salt and sugar.,我打开食物储藏柜去拿盐和糖。
unwarranted;/ʌnˈwɔːrəntɪd/;adj. 未经保证的，无根据的，不合适的;not necessary or appropriate :not warranted;You hit your son because he overslept? That was totally unwarranted.,你因为你儿子睡过头而打了他？简直太不合适了。
anthem;/ˈænθəm/;n. 国歌，赞美诗，圣歌;a song that is important to a particular group of people;The band is playing the Chinese anthem.,乐队正在演奏中国国歌。
phantom;/ˈfæntəm/;n. 鬼怪，幽灵，幻象;;In my nightmares, an evil phantom appears and tells me he'll kill me.,在我的噩梦中，一个鬼怪冒出来说他要杀了我。
aspirant;/əˈspaɪərənt/;n. 有抱负的人，野心家;a person who tries to become something :a person who aspires to do or to be something;The aspirant for the job sits through the job interview.,这个求职者坐着参加完了面试。
valiant;/ˈvæliənt/;n. 勇士，勇敢的人；  adj. 勇敢的，英勇的;having or showing courage :very brave or courageous;His ambition is to become a valiant knight and rid the world of evil.,他的梦想是成为一名勇敢的骑士消除世界的邪恶。
remnant;/ˈremnənt/;n. 遗迹；剩余；残余物；  adj. 剩下的；残余的;the part of something that is left when the other parts are gone;The remnant of Yuanmingyuan becomes a tourist attraction today.,圆明园的遗址如今成为了旅游景点。
complaisant;/kəmˈpleɪzənt/;adj. 彬彬有礼的，殷勤的，柔顺的;willing or eager to please other people;I'm fairly complaisant - I'll do what it takes to make you happy, within reason.,我相当柔顺。在合理的前提下，我愿意做任何事来让你开心。
anti-virus program;;反病毒程序;;I've installed an anti-virus program to protect my computer from being attacked by virus.,我装了一个反病毒程序来保护我的电脑免遭病毒袭击。
expectant;/ɪkˈspektənt/;adj. 期待的，怀孕的，预期中的；  n. 期待者，候选;feeling or thinking that something will happen :expecting something;The dog had an expectant look on his face as he waited for me to throw the toy.,狗的脸上带着期待的表情，好像在等我把玩具扔给他。
decant;/dɪˈkænt/;vt. 轻轻倒出;to pour (a liquid, especially wine) from one container into another;Many people like to decant their wine before drinking it.,
servant;/ˈsɜːrvənt/;n. 仆人;a person who is hired to do household or personal duties such as cleaning and cooking;Their family is very rich, they have their own servant to serve them food and drinks.,他们家非常有钱，他们有自己的仆人来上菜和上饮料。
distant;/ˈdɪstənt/;adj. 遥远的，久远的，疏远的;far away in time :happening far in the past or far into the future;The destination is still distant; we will not get there for a while.,目的地还很远，我们一时半会儿到不了。
rampant;/ˈræmpənt/;adj. 蔓生的，猖獗的;growing quickly and in a way that is difficult to control;The rampant lion is about to attack the hunter.,那个猖狂的狮子正试图攻击猎人。
triumphant;/traɪˈʌmfənt/;adj. 得胜的，得意洋洋的;resulting in victory or success;After getting his promotion, he happily let out a triumphant yell.,得到晋升以后，他开心地发出胜利的尖叫。
chrysanthemum;/krɪˈsænθəməm/;n. 菊花;a plant that has brightly colored flowers and that is often grown in gardens;Chrysanthemum flowers can be used to brew tea.,菊花可以用来泡茶。
the Lantern Festival;/ðə/ /ˈlæntə(r)n/ /ˈfestɪv(ə)l/;元宵节;;We celebrate the Lantern Festival by hanging lanterns up.,我们高挂灯笼，欢庆元宵佳节。
quantify;/ˈkwɑːntɪfaɪ/;v. 确定数量;to find or calculate the quantity or amount of (something);A measuring cup helps me quantify the ingredients that I need.,量杯帮我确定我需要的材料的数量。
brilliantly;/ˈbrɪliəntli/;adv. 光亮地，辉煌地; in an extremely intelligent way;Thousands of colored lights shone brilliantly in the sky.,数千条光线在天上闪闪发光。
immigrant;/ˈɪmɪɡrənt/;n. 移民，侨民;a person who comes to a country to live there;Immigrants leave their native country in search of jobs.,
dismantle;/dɪsˈmæntl/;v. 拆开，拆除;to take (something, such as a machine or structure) apart so that it is in separate pieces;The building needed to be dismantled to make room for new ones.,为了给新建筑腾出位置，这栋楼需要被拆除。
reliant;/rɪˈlaɪənt/;adj. 依赖的，可靠的，信赖的;needing someone or something for help, support, etc.;Babies are reliant on their mothers for food and care. ,婴儿依赖母亲的喂食和照料。
covenant;/ˈkʌvənənt/;n. 契约；  v. 立书保证;a formal written agreement between two or more people, businesses, countries, etc.;The covenant on this property limits who you can sell it to.,这栋地产的契约限制了你可以把它卖给谁。
mercantile;/ˈmɜːrkəntaɪl/;adj. 商人的，商业的，重商主义的;of or relating to the business of buying and selling products to earn money :of or relating to trade or merchants;This is a mercantile container used for trading.,这是用于贸易的商用集装箱。
romanticism;/roʊˈmæntɪsɪzəm/;n. 浪漫主义，浪漫精神;the quality or state of being impractical or unrealistic :romantic feelings or ideas;Holding a fuzzy heart? Come on, your romanticism is  kind of over the top.,怀抱绒毛心形抱枕？得了吧，你浪漫主义过头了。
abundant;/əˈbʌndənt/;adj. 丰富的，大量的;existing or occurring in large amounts;Holland has an abundant supply of tulips.,荷兰有丰富的郁金香供应源。
flippant;/ˈflɪpənt/;adj. 无礼的，轻率的，随意的;lacking proper respect or seriousness;Don't be so flippant! This is a business meeting!,别这么随意！这是一场商业会议！
irrelevant;/ɪˈreləvənt/;adj. 不相关的;not important or relating to what is being discussed right now :not relevant;His speech was completely irrelevant to our class.,他的演说完全跟我们的课程无关。
supplicant;/ˈsʌplɪkənt/;n. 乞求者，恳求者;a person who asks for something in a respectful way from a powerful person or God;The church receives many supplicants, who pray to God to help them.,这个教堂接收了很多乞求者，他们祈求上帝的帮助。
substantiate;/səbˈstænʃieɪt/;v. 证实，使实体化;to prove the truth of (something);The shape of the prints substantiated that it was indeed a dog.,从雪地上的脚印来看可以证实这是一只狗。
disinfectant;/ˌdɪsɪnˈfektənt/;n. 消毒剂;a chemical substance that is used to kill harmful germs and bacteria :a substance that disinfects something;She cleaned the toilet with disinfectant.,她使用消毒剂来打扫厕所。
pantomime;/ˈpæntəmaɪm/;n. 哑剧，〈英〉（圣诞节上演的）童话剧;a performance in which a story is told without words by using body movements and facial expressions;We acted out our feelings silently, in pantomime.,我们在哑剧中不做声地表演出感情。
significantly;/sɪɡˈnɪfɪkəntli/;adv. 意味深长地，值得注目地;in a way that is large or important enough to be noticed or have an effect;The price of gas has risen significantly in recent years.,近几年汽油价格猛涨。
antagonism;/ænˈtæɡənɪzəm/;n. 敌对，对抗，敌意;a strong feeling of dislike or hatred :a desire to oppose something you dislike or disagree with;There was a lot of antagonism between the competitors before the match.,拳击比赛开始前，双方的敌对情绪已经很明显了。
antithetical;/ˌæntɪˈθetɪkl/;adj. 完全对立的，相反的;directly opposite or opposed;The direction signs are antithetical to each other. So where should we go?!,这两个方向指示完全相反。所以我们应该往哪儿走？
important;/ɪmˈpɔːrtnt/;adj. 重要的，重大的，有地位的，有权力的;highly valued;You have an important message!,你有一条重要消息！
reluctantly;/rɪˈlʌktəntli/;adv. 不情愿地；勉强地;in a way that involves hesitating before doing something because you do not want to do it or because you are not sure that it is the right thing to do.;My "meat-eating" son looked reluctantly at the food I handed to him.,我“只吃肉的”儿子不情愿地看着我递给他的食物。
job applicant;;求职人员;;Each year, thousands of job applicants will compete for just one position.,每年都有成千上万求职者争抢一个职位。
antibiotic;/ˌæntibaɪˈɑːtɪk/;n. 抗生素；  adj. 抗菌的;a drug that is used to kill harmful bacteria and to cure infections;These pills are common antibiotics.,这些药是常见的抗生素。
pendant;/ˈpendənt/;n. 吊坠，下垂物；  adj. 吊着的，悬挂的;a piece of jewelry that hangs on a chain or a cord which is worn around your neck;The pendant around the girl’s neck is ring-shaped.,这个女孩的项链吊坠是环形的。
resonant;/ˈrezənənt/;adj. 洪亮的，共振的，共鸣的;producing a loud, clear, deep sound;Resonant waves tend to strengthen each other at certain times.,多个共振波会在特定时候相互加强。
Cantonese;/ˌkæntə'niːz/;n. 广东人，广东话；  adj. 广东人的，广州人的，广东话的;;These are some Cantonese dishes.,这是一些广东食物。
disadvantaged;/ˌdɪsədˈvæntɪdʒd/;adj. 贫困的，处于不利地位的，社会地位低下的;lacking the things (such as money and education) that are considered necessary for an equal position in society;We should help disadvantaged families so they can have better lives.,我们应该帮助贫困家庭，这样他们才能过上更好的生活。
constantly;/ˈkɑːnstəntli/;adv. 始终；一直；重复不断地;seemingly uninterrupted;I am thinking about passing my exams constantly all day.,我整天心里都在（不断地）想着通过考试的事情. 
frantic;/ˈfræntɪk/;adj. 疯狂的；狂乱的；慌乱的;feeling or showing a lot of fear and worry;"I need to get out of here!" he shouted in a frantic voice.,“我要离开这里!”他发疯似地喊叫着。 
incessant;/ɪnˈsesnt/;adj. 无间断的，连续的;continuing without stopping :not stopping;The incessant buzzing of the fly is driving me crazy!,这苍蝇发出的无间断的嗡嗡声要把我逼疯啦！
wanton;/ˈwɑːntən/;n. 水性杨花的人，任性的孩子，无节制的人；  v. 放肆，胡作非为，挥霍；  adj. 胡作非为的，淫荡的，无节制的;not limited or controlled;It's wanton to wear a bikini and black stockings to the office.,穿比基尼和黑丝袜去上班是胡作非为。
elegant;/ˈelɪɡənt/;adj. 优雅的，文雅的，漂亮雅致的，陈设讲究的;graceful and attractive;How elegant the ballet dancer is!,芭蕾舞者真优雅！
anticipation;/ænˌtɪsɪˈpeɪʃn/;n. 预期，预料，期待，预知;a feeling of excitement about something that is going to happen;She is full of anticipation--her baby is almost due.,她充满了期望— 她的宝贝就要出世了。
protuberant;/proʊˈtuːbərənt/;adj. 突出的，隆起的;sticking out from a surface usually with a curved or rounded shape;The fly has a long, protuberant mouth called a "proboscis".,苍蝇有着长长的隆起的嘴，叫做“口器”。
deodorant;/diˈoʊdərənt/;adj. 除臭的，防臭的；  n. 除臭剂;a substance that you put on your body and especially under your arms to prevent, remove, or hide unpleasant smells;I put deodorant on so my armpits don't smell so bad!,我喷了除臭剂，这样腋窝才不会那么臭！
stimulant;/ˈstɪmjələnt/;n. 【药】兴奋剂，刺激物，酒精饮料；  adj. 激励的，使人兴奋的;something (such as a drug) that makes you more active or gives you more energy;Stimulants like coffee are useful when you're too tired to work.,在你工作困顿的时候，咖啡的刺激非常有效。
contaminant;/kənˈtæmɪnənt/;n. 污染物，致污物;something that makes a place or a substance (such as water, air, or food) no longer suitable for use :something that contaminates a place or substance;This man is wearing protective clothing to protect him from contaminants.,这个人穿着防护服以保护自己免受污染物侵害。
entrant;/ˈentrənt/;n. 进入者，新成员，参加竞赛者;a person who enters something (such as a competition);It's so funny - my teacher was another entrant in the 'sexiest bikini' contest!,太搞笑了！我的老师竟然是“最性感比基尼”比赛的另外一位参赛者。
antiquity;/ænˈtɪkwəti/;n. 高龄，古物，古代的遗物;objects from ancient times;One of the most famous stories of antiquity is that of the Trojan Horse.,最有名的古代故事之一就是特洛伊木马。
philanthropy;/ fɪˈlænθrəpi /;n. 博爱主义，善心，慈善事业，慈善机构;the practice of helping the poor and those in need, especially by giving money;Those who can afford it should all think about philanthropy to help the poor.,每个生活过得不错的人都应该心怀慈善事业并帮助穷人。
canteen;/kænˈtiːn/;n. 食堂，小卖部，水壶;a place where food is served in a factory, school, etc.;Let's have some food at the canteen.,我们一起在食堂吃点东西吧。
unpleasant;/ʌnˈpleznt/;adj. 令人不快的，讨厌的;not pleasant or enjoyable; causing discomfort or pain;The smell is so unpleasant and offensive.,这味道太讨厌了。
Esperanto;/ˌespə'ræntoʊ/;n. 世界语;an invented language which consists of parts of several European languages, and which was designed to help people from different countries communicate with each other.;Esperanto was supposed to be a universal language, but now very few people speak it.,世界语曾经是一门全球化的语言，但现在很少人说了。
trenchant;/ˈtrentʃənt/;adj. 犀利的，锐利的，有力的，清晰的，一针见血的;very strong, clear, and effective;Her trenchant editing hurt my feelings, but improved my book.,虽然他犀利的编辑让我的心很受伤，但确实提升了我这本书的质量。
insignificant;/ˌɪnsɪɡˈnɪfɪkənt/;adj. 无关紧要的，可忽略的，无意义的;small or unimportant :not significant;My present is small, but it's not insignificant - open it!,我的礼物虽小但并不代表可以忽略--打开吧！
significant;/sɪɡˈnɪfɪkənt/;adj. 重大的；有意义的；显著的;large or important enough to have an effect or to be noticed; having a special or hidden meaning;It's a significant day because we get married on that day!,那是很重要的日子，因为我们在那天结婚了！
dilettante;/ˌdɪləˈtænti/;n. 半吊子;a person who does or studies sth. but is not serious about it and does not have much;He was such a dilettante that he read the book during the surgery.,他真是个半吊子医生，居然在做手术时看书。
scant;/skænt/;adj. 不足的，缺乏的，勉强够的；  v. 减少，节省，限制;very small in size or amount;There is scant fresh water on Earth; we should try to conserve it.,地球上的淡水很缺乏，我们应该努力保护它。
indignant;/ɪnˈdɪɡnənt/;adj. 愤慨的，愤愤不平的;feeling or showing anger because of something that is unfair or wrong :very angry;He was indignant when I told him he's been laid off.,当我告诉他他被解雇的时候，他愤怒极了。
cantankerous;/kænˈtæŋkərəs/;adj. 脾气坏的，好争吵的;often angry and annoyed;"GET OFF MY LAWN!" said the old, cantankerous man.,“离开我的草坪！”这个脾气坏的老人说到。
applicant;/ˈæplɪkənt/;n. 申请人；请求者;someone who formally asks for something (such as a job or an admission to a college); someone who applies for something;The applicants for this job are waiting outside before the interview.,面试开始之前，应聘者正在外面等候。
compliant;/kəmˈplaɪənt/;adj. 顺从的，服从的，应允的;willing to do whatever you are asked or ordered to do :ready and willing to comply;My dog is very compliant with me: he does everything I say.,我的狗很听从我的话：我让他做什么，他就做什么。
resistant;/rɪˈzɪstənt/;adj. 防……的，耐……的，抵抗的;not affected or harmed by something;This watch is water resistant.,这块手表具有防水性能。
gargantuan;/ɡɑːrˈɡæntʃuən/;adj. 巨大的，庞大的;very large in size or amount;These gargantuan skyscrapers are so large. They have their own weather.,这些巨型摩天大楼十分高大，他们甚至有自己的天气。
antiseptic;/ˌæntiˈseptɪk/;n. 杀菌剂；  adj. 防腐的，抗菌的;a substance that prevents infection in a wound by killing bacteria;Hospital staff are required to use antiseptic hand wash.,医院工作人员被要求使用抗菌剂来洗手。
antithesis;/ænˈtɪθəsɪs/;n. 对立面，对照;the exact opposite of something or someone;Yin is the antithesis of yang.,阴乃阳的对立面。
reluctant;/rɪˈlʌktənt/;adj. 不情愿的;not willing or eager to do something;The dog was reluctant to take a bath.,狗狗不乐意去洗澡。
advantage;/ədˈvæntɪdʒ/;n. 优势，利益，有利条件;something (such as a good position or condition) that helps to make someone or something better or more likely to succeed than others;I'm looking for anything that can give me an advantage in the race.,我在找所有有利于我赢得比赛的东西！
