slam dunk;/ˈslæm dʌŋk/;n. 扣篮;the act of jumping up and putting the ball through the net with a lot of force;The basketball player did a perfect slam dunk.,那个篮球运动员完成了一次完美的扣篮。
shamble;/ˈʃæmbl/;v. 蹒跚，拖沓；  n. 蹒跚，摇晃的脚步；（pl.）混乱，废墟;to walk in an awkward, unsteady way without lifting your feet very high off the ground;The baby is so cute when he shambles across the room.,宝宝蹒跚着走过房间的时候超可爱的。
amalgamate;/əˈmælɡəmeɪt/;v. 合并，混合;to unite (two or more things, such as two businesses) into one thing;Now that the merger is complete, we need to amalgamate our workforces.,既然现在公司合并完成，我们需要合并人力了。
ambulance;/ˈæmbjələns/;n. 救护车;a vehicle used for taking hurt or sick people to the hospital especially in emergencies;The ambulance sent the patient to the hospital.,救护车把病人送到了医院。
ambitious;/æmˈbɪʃəs/;adj. 有抱负的；雄心勃勃的；有野心的;having a strong desire to be successful, powerful, or famous;Although he isn't young anymore, the businessman is still ambitious.,虽然不再年轻，这商人仍然有雄心壮志。
championship;/ˈtʃæmpiənʃɪp/;n. 冠军的地位（或称号），捍卫，锦标赛;the title of champion in a sport or game;The Chinese Women's Volleyball Team won the World Cup championship.,中国女排在2015年世界杯上获得冠军。
pajamas;/pəˈdʒæməz/;n. （=pyjamas）睡衣，宽长裤;clothing that people wear in bed or while relaxing at home;She wished she could spend all day in the pajamas she slept in, but her Mom said no.,她想整天都穿着睡衣，但她妈妈不允许。
hamlet;/ˈhæmlət/;n. 小村庄，哈姆雷特;a small village;We stopped at a small mountain hamlet to get some sleep.,我们在一个山间小村庄停下找地方睡觉。
mainframe;/'meɪnfreɪm/;n. 主机，大型计算机;a large powerful computer, usually the centre of a network and shared by many users;Our new powerful mainframes can compute at a much faster rate.,我们功能强大的新型主机能以更快速度进行运算。
nickname;/ˈnɪkneɪm/;n. 绰号；诨号；昵称；  vt. 起绰号；叫错…的名字;a name (such as “Moose” or “Lady Bird”) that is different from your real name but is what your family, friends, etc., call you when they are talking to you or about you;When I was a little child, my nickname was "Goudan".,小时候的的绰号是“狗蛋”。
all the same to;/ɔl/ /ðə/ /seɪm/ /tu/;phr. 对…说来都一样，无所谓;one or some or every or all without specification;It's all the same to her--she doesn't care.,对她来说无所谓——她不关心。
psychodynamic;/saɪkoʊdaɪ'næmɪk/;adj. 心理动力的，精神动力的;relating to the interrelation of the unconscious and conscious mental and emotional forces that determine personality and motivation;The therapist used psychodynamic analysis to understand why I can't trust people.,治疗师运用精神动力分析法来理解我为什么不信任人。
filament;/ˈfɪləmənt/;n. 灯丝，细丝;a thin wire in a light bulb that glows when electricity passes through it;The filament of this bulb has burned out.,这个电灯泡的灯丝烧坏了。
sales team;;销售团队;sales team＝a group of salesmen.;This real estate sales team have sold out of all the newly built apartments.,这个房地产销售团队已经卖完了所有新建的公寓。
gamble;/ˈɡæmbl/;vi. 赌博，投机；  vt. 赌输，以…打赌；  n. 赌博，冒险;to play a game in which you can win or lose money or possessions :to bet money or other valuable things;If you gamble, you might win sometimes, but you will lose in the long run.,赌博，你也许有时会赢，但从长远来看，你一定会输。
dam;/dæm/;n. 水坝，障碍物;a structure that is built across a river or stream to stop water from flowing;The dam keeps the river from flooding the town.,大坝让小镇免于河流泛滥的洪水。
slam;/slæm/;v. 砰地关上，猛力拉，扔，砰地放下，猛烈抨击；  n. 砰的一声，大满贯;to set or throw (something) in a forceful way that makes a loud noise;He slams the door as he leaves.,他走的时候，随手砰地把门带上了。
amplitude;/ˈæmplɪtuːd/;n. 振幅；广阔；丰富;a measurement that indicates the movement or vibration of something (such as a sound wave or a radio wave);This machine shows the changes in amplitude.,这台机器显示了振幅的变化。
seam;/siːm/;n. 缝；接缝；地层;a line where two pieces of cloth or other material are sewn together;The book's seams are stitched in.,这本书的缝隙已经缝上了。
amuse;/əˈmjuːz/;v. 娱乐，消遣，使发笑;to entertain (someone) in a light and pleasant way; to make someone laugh or smile;Their talk show amused the audience.,他们的脱口秀逗乐了观众。
amends;/əˈmendz/;n. 赔偿；赔罪;to do something to correct a mistake that you have made or a bad situation that you have caused;He bowed to his boss to make amends for his mistakes.,他给老板鞠躬，为他的错误赔礼道歉。
champagne;/ʃæmˈpeɪn/;n. 香槟酒;a French white wine that has many bubbles and that people often drink on special occasions;"To celebrate, let's pop open a bottle of champagne!",我们开一瓶香槟酒来庆祝吧！
symbolic ambassador;/sɪmˈbɑlɪk æmˈbæsədər/;形象大使;a person who use his social influence or personality charm to reprsent an activity or products;He was the symbolic ambassador of protecting sharks.,姚明是“保护鲨鱼”活动的形象大使。
flame;/fleɪm/;n. 火焰，热情;the hot, glowing gas that can be seen when a fire is burning;The house went up in flames; we lost everything.,房子烧毁了，我们失去了所有。
damp;/dæmp/;adj. 潮湿的，有湿气的;somewhat or slightly wet;I had an umbrella, but my clothes still got damp from the rain.,尽管带了伞，我的衣服还是湿了。
ambivalent;/æmˈbɪvələnt/;adj. 矛盾的，好恶相克的;having or showing very different feelings (such as love and hate) about someone or something at the same time;I'm feeling ambivalent about whether I want wine or milk.,在选择是要牛奶还是红酒的时候，我感到很矛盾。
diagram;/ˈdaɪəɡræm/;n. 图解，图表;a drawing that explains or shows the parts of something;This is a diagram of human hair growth.,这是人类头发生长的图解。
shame;/ʃeɪm/;n. 羞耻，羞愧，羞愧感，耻辱；  vt. 使感到羞耻，使蒙羞;a feeling of guilt, regret, or sadness that you have because you know you have done something wrong;She covers her face in shame.,她羞愧地遮住了脸。 
amusement park;/əˈmjuːzmənt pɑːrk/;n. 游乐场;;Make sure that you try the new ride at the amusement park!,一定要试试游乐场的新过山车！
ample;/ˈæmpl/;adj. 富足的，丰满的，宽敞的;having or providing enough or more than enough of what is needed;We're lucky to have an ample amount of food to eat.,我们非常幸运能有这么多食物来吃。
ramification;/ˌræmɪfɪˈkeɪʃn/;n. 分枝，分枝（或分叉）的结果;something that is the result of an action, decision, etc.;Carefully think through the possible ramifications before you make your decision.,在作出决定之前，请仔细的考虑各种可能产生的结果。
paramount;/ˈpærəmaʊnt/;n. 元首，最高；  adj. 最高的，至上的，首要的;very important :of highest rank or importance;It's paramount that we make the VIP happy.,我们最重要的任务就是让贵宾客人开心。
calamity;/kəˈlæməti/;n. 大灾祸，不幸之事;an event that causes great harm and suffering;A great calamity is occurring, how can we survive?!,巨大的灾难将要发生，我们该如何幸存？
steam;/stiːm/;n. 蒸气，轮船；  v. 蒸发，冒热气;the hot gas that is created when water is boiled;Steam is coming from the pot. Turn off the stove!,水蒸气正往锅外冒，关火吧！
clamor;/'klæmə/;n. 喧闹，强烈的要求；  v. 喧嚷，强烈的要求;a loud continuous noise (such as the noise made when many people are talking or shouting);The protests caused a clamor outside.,抗议活动将外面弄得很喧闹。
same;/seɪm/;adj. 同一的，无变化的；  pron. 同样的事物；  adv. 同样地;not different;The twins think and walk the same way: they even wear the same clothes.,这对双胞胎想的做的都一样，他们甚至穿一样的衣服。
islamic;/ɪzˈlæmɪk/;adj. 伊斯兰教的，穆斯林的;of or relating to or supporting Islamism;In Islamic cultures. most women wear the veil.,在伊斯兰文化里，大多数女性都戴面纱。
(be)the same with;/ðə seɪm wɪð/;与…情况相同;exactly the one or ones referred to or mentioned; not different;She is playing video games. It's the same with her friend.,她在打游戏，她的朋友也在。
panoramic;/ˌpænəˈræmɪk/;adj. 全景的;as from an altitude or distance;From the summit, they had a panoramic view over the whole of Hong Kong.,我们从山顶看到了整个香港的全景。
hamster;/ˈhæmstər/;n. （动）仓鼠;a small animal that is often kept as a pet;A hamster can be a wonderful pet for a small child.,仓鼠可以算是一份很棒的适合小孩的礼物。
beam;/biːm/;n. 光线，（房屋等）大梁；  v. 照射，发射，播送;a line of light coming from a source (such as the sun or a headlight);A sun beam reaches down through the clouds.,阳光穿过云层。
world-famous;/ˌwɜːrld ˈfeɪməs/;adj. 世界闻名的;famous throughout the world;Marilyn Monroe is a world-famous actress.,玛丽莲梦露是世界闻名的女演员。
fundamental;/ˌfʌndəˈmentl/;adj. 基本的；重要的；基础的;of or relating to the basic structure or function of something;In modern society, WiFi is the most fundamental need.,现代社会中，WiFi成了人们最基本的需求（马斯洛需求金字塔最底部）。
disarmament;/dɪsˈɑːrməmənt/;n. 裁军;the process of reducing the number of weapons controlled by a country's military;Disarmament will bring peace to the world.,裁军会带来世界和平。
vitamin;/ˈvaɪtəmɪn/;n. 维生素;organic compound found in certain foods and essential to health;Fruits such as oranges and grapes are rich in vitamin C.,橙子、葡萄等水果都富含维他命C。
monogamy;/məˈnɑːɡəmi/;n. 一夫一妻制;the state or practice of being married to only one person at a time;Swans are one of the few species which practice monogamy.,天鹅是少数几个施行一夫一妻制的物种之一。
lampoon;/læmˈpuːn/;n. 讽刺文章；  v. 讽刺，写文章讽刺;to publicly criticize (someone or something) in a way that causes laughter :to mock or make fun of (someone or something);This clown is trying to lampoon the world of business.,这个小丑想讽刺商界。
aerodynamics;/ˌeroʊdaɪˈnæmɪks/;n. 【流】气体力学，【航】航空动力学;a science that studies the movement of air and the way that objects (such as airplanes or cars) move through air;You need a basic understanding of aerodynamics to be a paraglider.,为了成为一名滑翔伞运动员，你需要对气体力学有基本的理解。
dramatically;/drəˈmætɪkli/;adv. 戏剧性地，引人注目地;in a very impressive manner;The Chinese economy has grown dramatically in the last thirty years.,在过去的三十年，中国的经济有着引人注目的增长。
squeamish;/ˈskwiːmɪʃ/;adj. 害怕的，易受惊的，想呕吐的;easily shocked, offended, or disgusted by unpleasant things;OK, we admit it - we're squeamish about spiders in our lunch.,好吧，我们承认害怕午餐里的蜘蛛。
panorama;/ˌpænəˈræmə/;n. 全景，概观;a full and wide view of something;This panorama shows the entire downtown New York skyline.,这里的全景显示了整个纽约市的天际线。
lambaste;/læmˈbeɪst/;v. 痛打，痛骂，严责;to criticize (someone or something) very harshly;He lambasted me for my bad cooking.,他因为我煮饭难吃而痛骂我。
amorous;/ˈæmərəs/;adj. 容易动情的，情爱的;having or showing strong feelings of sexual attraction or love;I'm feeling amorous - may I kiss you?,我感到一股欲望，可以吻你吗？
ameliorate;/əˈmiːliəreɪt/;v. 改善，减轻（痛苦等），改良;to make (something, such as a problem) better, less painful, etc.;We are handing out free food to try to ameliorate the lives of the poor.,我们免费派发食物，尽力改善穷人的生活。
camouflage;/ˈkæməflɑːʒ/;n. 伪装，掩饰；  v. 使改头换面，伪装，掩饰，欺瞒;a way of hiding something (such as military equipment) by painting it or covering it with leaves or branches to make it harder to see;His camouflage colored clothes made him hard to see in the forest.,他的迷彩服让他在森林中很难被发现。
steamboat;/ˈstiːmboʊt/;n. 汽船，轮船;a boat that is powered by steam;Steamboats were once common on the river.,曾经蒸汽船在河面很常见。
epigram;/ˈepɪɡræm/;n. 机智的的言语;a short and clever poem or saying;There is a new epigram posted on the wall, trying to inspire us to be modest.,墙上贴了一个新的警句，鼓励我们要谦虚。
chamber;/ˈtʃeɪmbər/;n. 会议室，房间，（身体或器官内的）腔;usually a large room where members of a government group (such as a legislature) have meetings;The chamber has enough seats for a meeting.,这个会议室有足够的座位来开会。
lament;/ləˈment/;v. 悲伤，哀悼；  n. 悲伤，哀悼，恸哭;to express sorrow, regret, or unhappiness about something;The old woman began to lament the death of her husband.,老妇对丈夫的死感到悲痛。
damsel;/ˈdæmzl/;n. 少女，年轻女子;a young woman who is not married;Won't someone rescue that beautiful damsel from the witch's tower?,难道就没人去把那个少女从巫婆的塔楼里救出来么？
dopamine;/ˈdoʊpəmiːn/;n. ［生化］多巴胺;a monoamine neurotransmitter found in the brain and essential for the normal functioning of the central nervous system; as a drug (trade names Dopastat and Intropin) it is used to treat shock and hypotension;Dopamine plays an important part in the brain's systems for pleasure and reward.,多巴胺在脑系统中扮演重要角色，它有传递快乐、奖励的功能。
ambience;/ˈæmbiəns/;n. 气氛，布景，周围环境;a particular environment or surrounding influence;There was a magical ambience in the woods last night.,昨晚树林里有一种神奇的氛围。
shampoo;/ʃæmˈpuː/;n. 洗发精，香波，洗发；  v. 洗发;a special liquid that is used for cleaning your hair;This new shampoo makes my hair smell great!,新买的洗发香波使我头发闻上去很不错。
ambiguous;/æmˈbɪɡjuəs/;adj. 含糊不清的，引起歧义的，模棱两可的;able to be understood in more than one way :having more than one possible meaning;This ambiguous image can have multiple meanings.,这个模棱两可的图像会有很多含义。
campaign;/kæmˈpeɪn/;n. 竞选活动，战役，运动；  v. 从事活动，参加运动;a series of activities designed to produce a particular result;Many people came to support the president's campaign.,很多人都来这儿支持总统的竞选活动。
dynamic;/daɪˈnæmɪk/;adj. 有活力的，动力学的，动态的；  n. 活力，动力;having or showing a lot of energy;The square dancers might be aged, but they're still dynamic!,广场舞大妈们也许上了年纪，但是她们很有活力啊！
gossamer;/ˈɡɑːsəmər/;n. 蛛丝，小蜘蛛网，薄纱，纤细的东西；  adj. 轻而薄的;a piece of a spider's web;The dew settled on the gossamer, showing the outline of the spider's web.,蛛丝上的露水显示出蜘蛛网的轮廓。
video beamer;;视频投影机;an image projector that receives a video signal and projects the corresponding image on a projection screen using a lens system.;We watched a movie at home using our new video beamer.,我们在家用新的视频投影机看了部电影。
exam;/ɪɡˈzæm/;n. 考试，检查，细查;an exercise designed to examine progress or test qualification or knowledge;The students are taking an exam.,学生们正在考试。
cream;/kriːm/;n. 奶油，乳脂，面霜，奶油色;a very thick liquid or soft substance that is rubbed into the skin to make it softer or is used as a medicine for the skin;This cream will help your skin stay smooth. ,面霜会帮助你的皮肤保持光滑。
amicable;/ˈæmɪkəbl/;adj. 友善的，温和的，平心静气的;showing a polite and friendly desire to avoid disagreement and argument;I met the most amicable pair of girls this weekend.,这周末我遇到了几个非常友善的女孩子。
cramp;/kræmp/;n. 痉挛，绞痛，【五金】铁夹钳；  v. 束缚，限制，使…抽筋，以铁箍扣紧；  adj. 狭窄的，难解的，受限制的;a sudden painful tightening of muscle in a part of the body;She is suffering from stomach cramps.,她正遭受着胃痉挛的折磨。
roam;/roʊm/;vi. 闲逛，漫步，徘徊；  vt. 在…漫步，在…徘徊;to go to different places without having a particular purpose or plan;I don't know where we're going; I'd just like to roam the city for a while.,我不知道我们要去哪里，我就是想在城里闲逛。
at the same time;/ət/ /ðə/ /seɪm/ /taɪm/;adv. 同时，然而;at the same instant;The kids do different activities at the same time.,小朋友们同时进行着各种活动。
ambiguity;/ˌæmbɪˈɡjuːəti/;n. 模棱两可，歧义，误解;something that does not have a single clear meaning :something that is ambiguous;Ambiguities arose from the confusing picture.,这张图片模棱两可，容易让人产生误解。
lamb chops;;羊排;chop cut from a lamb.;The lamb chops are grilled to perfection; it's time to eat!,这些羊排已经烤熟了，是时候开吃啦！
trade name;;商品名称，商号，店名;a name that is taken and used by a company for business purposes;Coffee is sold under a wide range of different trade names.,咖啡以多种品牌出售。
chameleon;/kəˈmiːliən/;n. 蜥蜴，变色龙，善变的人;a type of lizard that can change the color of its skin to look like the colors that are around it;It is so cool how the chameleon can change colors.,变色龙能够变色简直太酷了。
trample;/ˈtræmpl/;v. 踩坏（烂），践踏，蔑视；  n. 踩踏，蹂躏;to treat other people's rights, wishes, or feelings as if they are worthless or not important;"Stop! You are trampling on me", the ant screamed.,蚂蚁尖叫着说：“停！你踩到我了！”
encampment;/ɪnˈkæmpmənt/;n. 营地，露营;a site where people on holiday can pitch a tent;When I saw the bear, I ran back to the encampment to tell my friends.,看到熊的时候，我跑回营地通知朋友们。
camp;/kæmp/;v. 露营；  n. 野营，帐篷，阵营;to live temporarily in or as if in a tent;This boy likes to camp in nature in his own tent.,这个男孩喜欢到野外搭帐篷露营。
stamp;/stæmp/;n. 邮票，印；  v. 盖印，贴邮票于，毁掉;a small piece of paper with a design on it that you buy and stick on an envelope or a package before you post it;The stamp on the pig shows the good quality of it.,猪皮上盖的章表示猪的质量合格。
pyjamas;/pəˈdʒæməz/;n. 睡衣，宽长裤;;Put on your pyjamas before you go to bed!,上床睡觉前穿上你的睡衣！
sham;/ʃæm/;n. 假货；虚假；欺诈;something that is not what it appears to be and that is meant to trick or deceive people;It's a sham! Don't drink it!,这是假货！千万别喝！
sampan;/ˈsæmpæn/;n. 舢板，小船;an Asian skiff usually propelled by two oars;Some traditional fishermen in Asia still fish from sampan riverboats.,在亚洲，一些传统渔夫还在用舢板小船捕鱼。
scramble;/ˈskræmbl/;v. 争夺，攀登;to move or act quickly to do, find, or get something often before someone else does;The poor children scrambled for the food.,穷孩子争先恐后地抢食物。
inflammable;/ɪnˈflæməbl/;adj. 可燃的，易激怒的;capable of being set on fire and of burning quickly;Put your cigarette out! That oil is inflammable.,把你的烟灭了！油是易燃物。
among;/əˈmʌŋ/;prep. 在…中间，被…包围，包括其中;in or through (a group of people or things);The red apple is eye-catching among the yellow ones.,这个红苹果在黄苹果中间很显眼。
gambol;/ˈɡæmbl/;n. 雀跃，嬉戏；  v. 欢跃，嬉戏;to run or jump in a lively way;The boy loves to gambol about at the beach.,这个男孩喜欢在沙滩嬉戏。
teamwork;/ˈtiːmwɜːrk/;n. 团队合作，协力;the work done by people who work together as a team to do something;Teamwork allows us to bring this excellent app to you.,正是团队合作才让我们将这么棒的应用呈现给您。
amiss;/əˈmɪs/;adj. 有毛病的，有缺陷的，出差错的；  adv. 错误地;not proper or correct;Something's amiss with my email - why is it all in ancient Greek?,我的电子邮件出了问题-为什么它全都成了古希腊文？
salaam;/səˈlɑːm/;n. （穆斯林的）额手礼（用右手抚额鞠躬的礼节）;;Salaam! Peace be with you, my son!,再见！祝你平安，我的儿子！
reclamation;/ˌrekləˈmeɪʃn/;n. 开垦，改造，感化，废料回收;the conversion of wasteland into land suitable for use of habitation or cultivation;This land was polluted, so its reclamation will be challenging.,这片土地被污染了，所以开垦它很有挑战性。
pajamas;/pə'dʒæməz/;n. （=pyjamas）睡衣，宽长裤;;She just got up and was still in pajamas.,她刚起床，还穿着睡衣呢。
infamous;/ˈɪnfəməs/;adj. 声名狼藉的，无耻的，不名誉的;well-known for being bad :known for evil acts or crimes;And now, I present to you the infamous pirate, Jake Sparrow!,现在,我将为你展示邪恶的海盗,杰克·斯帕罗！
a huge amount of;/ə hjuːdʒ əˈmaʊnt əv/;大量的;a large quantity of something;There is a huge amount of money in the safe.,保险箱里有一大笔钱。
glamorous;/ˈɡlæmərəs/;adj. 迷人的，富有魅力的;very exciting and attractive :full of glamour;He thinks that gambling and partying with girls is a glamorous life.,他觉得赌博和泡妹子是一种迷人的生活。
permeate through (among);;phr. 渗透，透入;spread or diffuse through;Cigarette smoke permeates through clothing, making smokers stinky.,香烟味渗入衣服里，使吸烟者闻起来很臭。
rampart;/ˈræmpɑːrt/;n. 壁垒，城墙;a tall, thick stone or dirt wall that is built around a castle, town, etc., to protect it from attacks;The Great Wall is a famous rampart built in ancient China.,万里长城是古中国著名的壁垒。
mainstream;/ˈmeɪnstriːm/;n. 主流，主要倾向;the thoughts, beliefs, and choices that are accepted by the largest number of people;Most people tend to go with the mainstream opinion.,大多数人倾向于跟随主流观点。
amazed;/əˈmeɪzd/;adj. 惊奇的，吃惊的;;She was amazed at the size of the diamond, but she didn't really want to marry him.,她被钻石的尺寸惊到了，但她不想嫁给他。
amelioration;/əˌmiːliə'reɪʃn/;n. 改良，改善，改进;the act or an instance of ameliorating.;I made an amelioration to my new car so it can run better on snow.,我对新车做了一些改良来让它更好地在雪地上行驶。
amplify;/ˈæmplɪfaɪ/;v. 放大（声音等）；扩大；增强；详述；进一步阐述;to make (something, such as a musical instrument) louder by increasing the strength of electric signals;You can amplify your voice with a megaphone.,你可以用扩音器来放大声音。
pyramid;/ˈpɪrəmɪd/;n. 金字塔;a very large structure built especially in ancient Egypt that has a square base and four triangular sides which form a point at the top;I will travel to Egypt to look at the pyramids. , 我想去埃及旅行看看金字塔。
telegram;/ˈtelɪɡræm/;n. 电报;a message that is sent by telegraph;They used to use telegrams for messages.,他们曾经用电报发送信息。
camcorder;/'kæmkɔːrdər/;n. 便携式摄像机，摄录机;a lightweight, handheld video camera.;You can use this camcorder to make a video of your amazing journey.,你可以用这个便携摄像机为你精彩的旅程拍摄一个视频。
ornament;/ˈɔːrnəmənt/;n. 装饰；  v. 装饰;a small, fancy object that is put on something else to make it more attractive;We put the Christmas ornaments on the tree every year.,我们每年都要在圣诞树上放上装饰品。
drama;/ˈdrɑːmə/;n. 戏剧，戏剧性场面（情景）;the art or activity of performing a role in a play, show, etc.;These two actors are performing a great love drama.,这两名演员正在表演一部伟大的爱情剧。
ampere;/'æmpeə(r)/;n. 安培;a unit for measuring the rate at which electric current flows;My meter showed zero amperes when I tested the machine, so I guess it's broken.,测试机器的时候，仪表仪显示是0安培。我想它应该是坏了。
gambit;/ˈɡæmbɪt/;n. （常指带风险的）策略，弃兵局（指国际象棋开局弃一卒以取得优势），话题，开始，开场白;a planned series of moves at the beginning of a game of chess;The King's gambit offers a small sacrifice in return for a good attack.,王翼弃兵用一个小牺牲来换取一次好的进攻。
defame;/dɪˈfeɪm/;v. 诽谤，中伤;to hurt the reputation of (someone or something) especially by saying things that are false or unfair;The gossip defames all of her friends; she never has a nice thing to say.,这个谣言诽谤了她所有的朋友，她从来不说好话。
inflamed;/ɪnˈfleɪmd/;adj. 发炎的，红肿的，激怒的，燃烧的;sore, red, and swollen from disease, injury, etc.;Her joints have become severely inflamed after falling over.,跌倒后，她的关节变得非常红肿。
lampshade;/ˈlæmpʃeɪd/;n. 灯罩;a cover that softens or directs the light of a lamp;The lampshade diffused the bulb's light into a soft, romantic glow.,灯罩将灯泡的光线散射成柔软浪漫的光辉。
ceramic;/səˈræmɪk/;adj. 陶器的，陶瓷的；  n. 陶瓷制品;made of clay that has been heated to a very high temperature so that it becomes hard;These ceramic cups look simple but delicate.,这些陶瓷杯子简约却精美。
seamen;/'siːmən/;n. 海员，水手（seaman的复数形式）;a person works on the sea;The seamen are responsible for the safety of their ship.,海员为他们船只的安全负责。
ammonia;/əˈmoʊniə/;n. 氨，氨水;a colorless gas or liquid that has a strong smell and taste and that is used especially in cleaning products;He almost fainted by the smell of ammonia.,他几乎要被氨水的味道熏晕了。
anti-virus program;;反病毒程序;;I've installed an anti-virus program to protect my computer from being attacked by virus.,我装了一个反病毒程序来保护我的电脑免遭病毒袭击。
inflame;/ɪnˈfleɪm/;v. 使燃烧，激怒（某人）;to cause (a person or group) to become angry or violent;The boy grabbed the tigers butt, inflaming the beast's anger!,这个男孩摸了老虎屁股，这激怒了老虎。
rambunctious;/ræmˈbʌŋkʃəs/;adj. 喧闹的，难控制的，粗暴的，骚乱的;uncontrolled in a way that is playful or full of energy;Our kids are rather rambunctious - always running around getting into mischief.,我们的孩子们相当喧闹，总是跑来跑去、调皮捣蛋。
rampant;/ˈræmpənt/;adj. 蔓生的，猖獗的;growing quickly and in a way that is difficult to control;The rampant lion is about to attack the hunter.,那个猖狂的狮子正试图攻击猎人。
sample;/ˈsæmpl/;n. 样品；样本；  adj. 样品的；  vi. 抽样检查；  vt. 抽取…的试样;a small amount of something that gives you information about the thing it was taken from;I'll need a sample of your blood to see if you're sick.,我需要你血液样本来确定你是不是生病了。
tamarind;/ˈtæmərɪnd/;n. ［植］罗望子树，罗望子果（味酸，常做清凉轻泻剂用）;a tropical Old World tree (Tamarindus indica) of the legume family with hard yellowish wood, pinnate leaves, and red-striped yellow flowers; also: its fruit which has an acid pulp often used for preserves or in a cooling laxative drink;Tamarind fruits are commonly used in Southeast Asian cuisine.,东南亚烹饪里经常用到罗望子果。
campus;/ˈkæmpəs/;n. 校园，学校场地;a field on which the buildings of a university are situated;The college campus is a great place for dating.,大学校园是约会的绝佳之地。
dynamo;/ˈdaɪnəmoʊ/;n. 电动机；发电机;a machine that produces electricity;The wind-driven dynamos turn wind energy into electrical energy.,风力发电机把风能转换成了电能。
familiarity;/fəˌmɪliˈærəti/;n. 亲密，随便，熟悉;;Familiarity is a necessary component of friendship.,亲密是友谊中不可缺少的部分。
streamline;/ˈstriːmlaɪn/;n. 流线型；  adj. 流线型的；  vt. 使成流线型，简化…的过程，使一体化;to design or make (something, such as a boat or car) with a smooth shape which makes motion through water or air easier;The design of the car has been streamlined so it can go even faster.,这辆车的车身成流线型设计，这样它可以跑得更快。
game;/ɡeɪm/;n. 游戏，比赛，猎物；  adj. 甘愿尝试，有冒险精神;playful activities;We play a friendly game of pool.,我们常打撞球友谊赛。
team;/tiːm/;n. 队，组;a group of people who compete in a sport, game, etc., against another group;Your tug-of-war team may be stronger, but our team has better smiles.,你们拔河队也许更强，但我们笑得更灿烂！
perambulate;/pəˈræmbjuleɪt/;v. 巡行，巡视，漫步;To travel over for the purpose of surveying or examining.;The old couple perambulates around the garden with their dog.,这对老夫妻带着狗在花园散步。
tournament;/ˈtʊrnəmənt/;n. 锦标赛，联赛，比赛;a sports competition or series of contests that involves many players or teams and that usually continues for at least several days;The basketball tournament will end with a single winner.,这次篮球联赛会只有一个获胜队伍。
kilogram;/ˈkɪləɡræm/;n. 千克，公斤;a unit of weight equal to 1,000 grams;Kilogram is the scale for measuring weights.,公斤是测量体重的度量单位。
bamboo;/ˌbæmˈbuː/;n. 竹；  adj. 竹制的；土著居民；  v. 为…装上篾条;a tall plant with hard hollow stems that are used for building and to make furniture, tools, etc.;I am a panda and I love bamboo.,我是熊猫我爱竹子！
for example;;例如，举个例子;as an example;Night markets have many delicious snacks, for example, roasted chestnuts!,夜市上有很多好吃的小吃，举个例子，烤栗子！
swampy;/ˈswɑːmpi/;adj. 沼泽的，湿地的，松软的;soft and watery;The land is swampy, with many small pools of water.,那片地是沼泽，有很多小水坑。
temperament;/ˈtemprəmənt/;n. 气质，性格，喜怒无常;the usual attitude, mood, or behavior of a person or animal;The temperament of wild horses makes them difficult to tame.,野马的脾性很大，所以它们很难被驯服。
ham;/hæm/;n. 火腿；  adj. 做作的，蹩脚的;meat from the leg of a hog that is often prepared by smoking or salting;Ham is made of pork.  ,火腿是猪肉做的。
amateur;/ˈæmətər/;adj. 业余爱好的，业余（身份）的，外行的；  n. 业余爱好者，外行;a person who does something (such as a sport or hobby) for pleasure and not as a job;This office worker is also an amateur soccer player.,这个上班族也是一名业余球员。
diamond;/ˈdaɪəmənd/;n. 钻石；金钢石；菱形；棒球内场;a very hard usually transparent stone that is a form of carbon and is used especially in jewelry;As the saying goes, "Diamonds are a girl's best friend.",俗话说,“钻石是女孩最好的朋友”。
trams;/træm/;n. 有轨电车（tram的复数）;a conveyance that transports passengers or freight in carriers suspended from cables and supported by a series of towers;We used the trams to get around the old part of the city.,我们乘坐有轨电车游览这座城市的老城区。
ramp;/ræmp/;n. 斜坡，坡道，敲诈；  v. 蔓延，狂跳乱撞，敲诈;a piece of equipment with a slope that is used to join two surfaces that are at different levels or heights;We drove our car up the ramp.,我们把车驾驶到了斜坡上。
tamper;/ˈtæmpər/;v. 篡改，玩弄，贿赂；  n. 填塞者，捣棒;to change or touch (something) especially in a way that causes damage or harm;I had to tamper with my mark, otherwise my parents would have kicked my ass.,我得篡改分数，不然会被爸妈打的。
seaman;/ˈsiːmən/;n. 水手，海员，水兵;a sailor in the U.S. or British Navy or the U.S. Coast Guard who is not an officer;The seaman saluted to us and said farewell.,水手向我们道别致敬。
amazon;/ˈæməzən/;n. 亚马逊河;(in ancient Greek stories) a woman from a group of female warriors (= soldiers);The Amazon flows through a large area of rainforest.,亚马逊河流过大片热带雨林。
glamor;/ˈɡlæmər/;n. 魅力，吸引力;the attractive and exciting quality that makes a person, a job or a place seem special.;She has so much beauty and glamor, I can't get her off my mind.,她太漂亮太有魅力了，我没法停止想她。
contamination;/kənˌtæmɪˈneɪʃn/;n. 污染，玷污，污染物;the act of contaminating or polluting; including (either intentionally or accidentally) unwanted substances or factors;Water contamination is so severe in this river.,这条河的水体污染太严重了。
